country,atk_Armed Assault,atk_Assassination,atk_Bombing/Explosion,atk_Facility/Infrastructure Attack,atk_Hijacking,atk_Hostage Taking (Barricade Incident),atk_Hostage Taking (Kidnapping),atk_Unarmed Assault,atk_Unknown,tgt_Abortion Related,tgt_Airports & Aircraft,tgt_Business,tgt_Educational Institution,tgt_Food or Water Supply,tgt_Government (Diplomatic),tgt_Government (General),tgt_Journalists & Media,tgt_Maritime,tgt_Military,tgt_NGO,tgt_Other,tgt_Police,tgt_Private Citizens & Property,tgt_Religious Figures/Institutions,tgt_Telecommunication,tgt_Terrorists/Non-State Militia,tgt_Tourists,tgt_Transportation,tgt_Unknown,tgt_Utilities,tgt_Violent Political Party,suicide_rate,lethality_rate,mean_severity,incidents,cluster,pc1,pc2
Afghanistan,0.22598381902442857,0.07493519754928914,0.49053491477495875,0.027884690911947216,0.0012567748016652266,0.00212080747781007,0.0794124577802215,0.005734035032597597,0.09213730264708192,0.0,0.005027099206660906,0.03644646924829157,0.025528238158824917,0.0010996779514570734,0.011860812190715575,0.12771973921922866,0.006283874008326133,0.0,0.17830492498625403,0.012410651166444112,0.0006283874008326133,0.2794752965203048,0.20626816432330533,0.018223234624145785,0.005498389757285367,0.009347262587385123,0.00031419370041630665,0.011703715340507423,0.05938260937868196,0.0029848401539549134,0.0014924200769774567,0.09645746602780614,0.6838425889560914,4.832495483465556,12731,2,2.434524656922178,2.612561825131751
Albania,0.1375,0.175,0.6,0.0125,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.075,0.025,0.0,0.0375,0.375,0.05,0.0,0.0125,0.0125,0.0,0.125,0.1375,0.0125,0.0,0.0,0.0,0.075,0.05,0.0125,0.0,0.0,0.25,1.3125,80,2,-2.0956895135453095,1.5321500823347733
Algeria,0.33284724753919065,0.15712723295661685,0.3966460080204156,0.01932191031717098,0.0032810791104629965,0.0014582573824279985,0.035362741523878964,0.0003645643456069996,0.05359095880422895,0.0,0.006197593875318994,0.06562158220925994,0.024425811155668976,0.0007291286912139992,0.006562158220925993,0.06306963179001093,0.025519504192489974,0.0007291286912139992,0.14910681735326284,0.0003645643456069996,0.001093693036820999,0.20634341961356178,0.32847247539190666,0.011666059059423988,0.007291286912139993,0.01093693036820999,0.007291286912139993,0.04046664236237696,0.03025884068538097,0.012759752096244987,0.001093693036820999,0.012030623405030989,0.7098067808968282,5.702150929639081,2743,2,1.9733035985407332,1.921772561919775
Angola,0.24849699398797595,0.056112224448897796,0.5130260521042084,0.03807615230460922,0.0,0.002004008016032064,0.056112224448897796,0.002004008016032064,0.0841683366733467,0.0,0.02404809619238477,0.09619238476953908,0.002004008016032064,0.012024048096192385,0.028056112224448898,0.028056112224448898,0.004008016032064128,0.004008016032064128,0.06212424849699399,0.014028056112224449,0.0,0.026052104208416832,0.27655310621242485,0.012024048096192385,0.0,0.0,0.0,0.03406813627254509,0.002004008016032064,0.3587174348697395,0.01603206412825651,0.0,0.4248496993987976,8.55811623246493,499,2,1.107392879592455,-0.5797698659945784
Argentina,0.10797546012269939,0.16809815950920245,0.5558282208588957,0.04785276073619632,0.001226993865030675,0.006134969325153374,0.08834355828220859,0.008588957055214725,0.015950920245398775,0.001226993865030675,0.008588957055214725,0.2907975460122699,0.0196319018404908,0.0,0.051533742331288344,0.20736196319018405,0.04785276073619632,0.0,0.11779141104294479,0.0049079754601227,0.001226993865030675,0.05030674846625767,0.13987730061349693,0.024539877300613498,0.0036809815950920245,0.00245398773006135,0.0,0.018404907975460124,0.0,0.0098159509202454,0.0,0.00245398773006135,0.1460122699386503,1.0644171779141105,815,1,-2.3593671417903033,0.25702515810274124
Australia,0.12280701754385964,0.08771929824561403,0.34210526315789475,0.3333333333333333,0.0,0.02631578947368421,0.0,0.03508771929824561,0.05263157894736842,0.0,0.02631578947368421,0.17543859649122806,0.0,0.0,0.20175438596491227,0.08771929824561403,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.0,0.0,0.09649122807017543,0.11403508771929824,0.20175438596491227,0.0,0.0,0.008771929824561403,0.03508771929824561,0.008771929824561403,0.0,0.008771929824561403,0.008771929824561403,0.14035087719298245,0.6973684210526315,114,1,-2.7283812111703836,-2.118953280816809
Austria,0.09565217391304348,0.12173913043478261,0.46956521739130436,0.22608695652173913,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.017391304347826087,0.02608695652173913,0.0,0.09565217391304348,0.17391304347826086,0.008695652173913044,0.0,0.24347826086956523,0.06086956521739131,0.008695652173913044,0.0,0.0,0.0,0.008695652173913044,0.017391304347826087,0.25217391304347825,0.034782608695652174,0.0,0.0,0.017391304347826087,0.06086956521739131,0.008695652173913044,0.008695652173913044,0.0,0.0,0.12173913043478261,0.808695652173913,115,1,-2.819575521560165,-1.4717179736253112
Bahrain,0.178743961352657,0.014492753623188406,0.5942028985507246,0.18357487922705315,0.0,0.004830917874396135,0.0,0.00966183574879227,0.014492753623188406,0.0,0.004830917874396135,0.15942028985507245,0.04830917874396135,0.0,0.024154589371980676,0.028985507246376812,0.0,0.0,0.024154589371980676,0.0,0.0,0.3719806763285024,0.2028985507246377,0.028985507246376812,0.0,0.0,0.0,0.014492753623188406,0.08695652173913043,0.004830917874396135,0.0,0.0,0.1497584541062802,0.6690821256038647,207,2,-1.323666815093584,3.628518508890373
Bangladesh,0.17718446601941748,0.09951456310679611,0.4799757281553398,0.14320388349514562,0.0012135922330097086,0.00424757281553398,0.030946601941747573,0.007281553398058253,0.05643203883495146,0.0,0.0024271844660194173,0.054004854368932036,0.0703883495145631,0.0,0.0054611650485436895,0.18810679611650485,0.016383495145631068,0.007888349514563107,0.012135922330097087,0.0036407766990291263,0.0,0.07766990291262135,0.2536407766990291,0.041868932038834954,0.0006067961165048543,0.012742718446601941,0.0,0.08070388349514564,0.05521844660194175,0.0006067961165048543,0.11650485436893204,0.007888349514563107,0.279126213592233,3.2503033980582523,1648,2,-0.5587435525563724,2.0560717536043702
Belgium,0.09740259740259741,0.16233766233766234,0.42857142857142855,0.15584415584415584,0.006493506493506494,0.006493506493506494,0.025974025974025976,0.07792207792207792,0.03896103896103896,0.0,0.09740259740259741,0.24025974025974026,0.01948051948051948,0.0,0.2077922077922078,0.11038961038961038,0.0,0.0,0.045454545454545456,0.03896103896103896,0.0,0.05194805194805195,0.07792207792207792,0.05844155844155844,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.012987012987012988,0.0,0.01948051948051948,0.0,0.01948051948051948,0.18831168831168832,2.188311688311688,154,1,-2.864198585480983,-2.8782157607519068
