country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
Iraq,24636,78589.0,5.923607728527358,21529.0,0.8738837473615847,1.0,1.0,0.07313095961144886,0.8738837473615847,0.842052206045955
Afghanistan,12731,39384.0,4.832495483465556,11575.0,0.9091980205796873,0.929913912569731,0.9387101270917698,0.059660438067476,0.9091980205796873,0.798907371952498
Pakistan,14368,23822.0,3.1208936525612474,11806.0,0.8216870824053452,0.942755661065228,0.894109919143048,0.03852955126618824,0.8216870824053452,0.7743677352197356
Nigeria,3907,22682.0,7.115817762989506,3687.0,0.9436908113642181,0.8045173049455973,0.8897596923464541,0.08784960201221613,0.9436908113642181,0.7434658916886402
India,11960,19341.0,2.828678929765886,7554.0,0.6316053511705686,0.92328177565622,0.8756240596663468,0.034921962095875135,0.6316053511705686,0.7319790251523586
Somalia,4142,10273.0,3.5515451472718493,3782.0,0.9130854659584742,0.810717040854211,0.8194971540927106,0.04384623638607221,0.9130854659584742,0.7136757179211796
Syria,2201,15229.0,10.124261699227624,2053.0,0.9327578373466606,0.7436118610193357,0.8544200376809943,0.12499088517564969,0.9327578373466606,0.7124330640903791
Yemen,3347,8776.0,4.0155363011652225,3190.0,0.9530923214819241,0.7880967802757666,0.8055260955393359,0.04957452223660769,0.9530923214819241,0.7072965673298871
Philippines,6908,9559.0,2.3512594093804284,4403.0,0.6373769542559351,0.8650128774449274,0.8131070985019978,0.02902789394296825,0.6373769542559351,0.6898980077584058
Libya,2249,2598.0,1.8910626945309026,2234.0,0.9933303690529124,0.7459013295636691,0.6975587485196979,0.02334645301890003,0.9933303690529124,0.6601296796921488
Thailand,3849,2742.0,1.7279812938425565,2893.0,0.751623798389192,0.8029297890586371,0.7023427671074809,0.021333102393117982,0.751623798389192,0.6478182808730457
Egypt,2479,3869.0,2.5332795482049213,1994.0,0.8043565954013715,0.756234678826479,0.7328788124328641,0.03127505615067804,0.8043565954013715,0.6477022629932582
Ukraine,1709,2261.0,2.154183733177297,1677.0,0.981275599765945,0.7167643725188714,0.6852381859645869,0.026594860903423417,0.981275599765945,0.6434577738973299
Colombia,8306,14698.0,2.391283409583434,1359.0,0.1636166626535035,0.8845772061133929,0.8512717318387635,0.029522017402264615,0.1636166626535035,0.6381832040053514
Democratic Republic of the Congo,775,4069.0,6.133548387096774,720.0,0.9290322580645162,0.6328798747131882,0.7373490478443101,0.07572281959378734,0.9290322580645162,0.6250699258873138
Turkey,4292,6888.0,2.7580382106244175,1585.0,0.3692917054986021,0.8144930430111782,0.7840384507111987,0.034049854452153305,0.3692917054986021,0.6215099864104442
Sudan,967,3883.0,5.137021716649431,804.0,0.8314374353671148,0.6563518900448391,0.7331991676022612,0.06342002119320285,0.8314374353671148,0.6167291247826616
Russia,2194,4308.0,3.6592980856882407,1213.0,0.5528714676390155,0.7432738166459792,0.7424114023932693,0.04517651957639803,0.5528714676390155,0.6097401454586846
Peru,6096,12771.0,2.429461942257218,54.0,0.008858267716535433,0.8517386493451949,0.8388050717429044,0.029993357311817504,0.008858267716535433,0.5981647250152022
Sri Lanka,3022,15530.0,7.713600264725348,227.0,0.07511581733951025,0.7772553977529439,0.8561562743848199,0.09522963289784381,0.07511581733951025,0.5933008589522267
El Salvador,5320,12053.0,2.7413533834586468,0.0,0.0,0.8372851350360399,0.8336721120989692,0.03384386893158823,0.0,0.590092267983845
Algeria,2743,11066.0,5.702150929639081,445.0,0.16223113379511483,0.7669746385232795,0.826093257439685,0.0703969250572726,0.16223113379511483,0.5895120414690753
Kenya,683,1948.0,7.437042459736457,574.0,0.8404099560761347,0.6194817950759832,0.6720255386479803,0.09181533900909206,0.8404099560761347,0.5892341738875715
South Sudan,225,2634.0,14.646666666666667,225.0,1.0,0.5019067153891192,0.6987791554258873,0.1808230452674897,1.0,0.5875198895735373
Cameroon,332,2347.0,8.670180722891565,312.0,0.9397590361445783,0.5430589986334713,0.6885485590234797,0.10703926818384649,0.9397590361445783,0.5808079128096961
Mali,566,1432.0,3.7279151943462896,527.0,0.931095406360424,0.5995644521960972,0.6447414472118617,0.04602364437464555,0.931095406360424,0.5798160726522579
United Kingdom,5235,3410.0,1.234574976122254,802.0,0.15319961795606496,0.8355754364227124,0.7216785811984775,0.015241666371879679,0.15319961795606496,0.57599994157782
Central African Republic,283,1990.0,8.696113074204947,270.0,0.9540636042402827,0.5261601069985172,0.6739170046736292,0.10735942066919688,0.9540636042402827,0.5718525979379175
Nepal,1215,1969.0,2.505761316872428,738.0,0.6074074074074074,0.6805682003372877,0.6729763124652269,0.030935324899659604,0.6074074074074074,0.5698715837205431
Bangladesh,1648,1244.0,3.2503033980582523,966.0,0.5861650485436893,0.7129078191069514,0.6322649903164499,0.04012720244516361,0.5861650485436893,0.5687864623860435
Lebanon,2478,4061.0,3.8389830508474576,535.0,0.2158999192897498,0.7561918597133491,0.737174497068847,0.047394852479598244,0.2158999192897498,0.5631233087713959
Israel,2183,1703.0,2.6000916170407695,770.0,0.3527256069628951,0.7427404198240134,0.6601076895377128,0.03209989650667617,0.3527256069628951,0.5528523003113549
