year,incidents,deaths
1970,651,174.0
1971,471,173.0
1972,568,566.0
1973,473,370.0
1974,581,539.0
1975,740,617.0
1976,923,674.0
1977,1319,456.0
1978,1526,1459.0
1979,2662,2100.0
1980,2662,4400.0
1981,2586,4851.0
1982,2544,5136.0
1983,2870,9444.0
1984,3495,10450.0
1985,2915,7094.0
1986,2860,4976.0
1987,3183,6482.0
1988,3721,7208.0
1989,4324,8152.0
1990,3887,7148.0
1991,4683,8429.0
1992,5071,9742.0
1994,3456,7690.0
1995,3081,6103.0
1996,3058,6966.0
1997,3197,10924.0
1998,934,4688.0
1999,1395,3393.0
2000,1814,4403.0
2001,1906,7729.0
2002,1333,4805.0
2003,1278,3317.0
2004,1166,5743.0
2005,2017,6331.0
2006,2758,9380.0
2007,3242,12824.0
2008,4805,9157.0
2009,4721,9273.0
2010,4826,7827.0
2011,5076,8246.0
2012,8522,15497.0
2013,12036,22273.0
2014,16903,44490.0
2015,14965,38853.0
2016,13587,34871.0
2017,10900,26445.0
